Se��o;Localiza��o ou subse��o;N� arq.;N�mero de Ordem;N�mero da photo;N�mero de pe�as;Descrip��o;Altura (m);Largura (m);Profundidade (m);Proveniencia;Valor individual, como consta grafado (de cada pe�a);Valor global, como consta grafado;Estado de Conserva��o;Observa��es;Data da informa��o
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5962;em branco ;1;Mesa typo D.;em branco;em branco;em branco;laubisch - rio;1:237$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5963;em branco ;1;"mesa de imbuia com 4 p�s, com sapatas de metal; tampo de lineleum. Mede 1m,25 x 0m,72 x 0m78";1,25;0,72;0,78;em branco;500$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5964 - 5965;em branco ;2;cadeiras de vime para dactylographa;em branco;em branco;em branco;em branco;250$000;500$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5966;em branco ;1;armario de a�o para vestiario, com 5 divis�es. Mede 1m,85 x 1m,76 x 0m,46;1,85;1,76;0,46;allemanha;em branco;;em branco;ver (x );19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5967 - 5968;em branco ;2;estantes de a�o com 10 divis�es. Mede 2m,10 x 1m,85 x 0m,35;2,1;1,85;0,35;allemanha;em branco;;em branco;ver ( x);19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5969;em branco ;1;cadeira de madeira pintada de vernis preto. Assento de palha. Encosto oval, com as armas imperiaes;em branco;em branco;em branco;rio;1:000$000;;bom;pertenceu � princesa isabel;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5970 - 5971;em branco ;2;"cestas para papel typo ""roneo""";em branco;em branco;em branco;em branco;50$000;100$000;bom;servi�o;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5972;em branco ;1;biombo de velludo vermelho, com p�s torneados de jacarandpa, 3 folhas, mede 2m,47 x 1m,60;2,47;1,6;em branco;em branco;800$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5973;em branco ;1;banco para machina de escrever;em branco;em branco;em branco;em branco;40$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5974 - 5975;em branco ;2;estantes de peroba, com 3 portas corredi�as e 5 prateleiras. Mede 3m85 x 1m,58 x 0m31;3,85;1,58;0,31;em branco;200$000;400$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;5976;em branco ;1;lampada de prata. Estylo D. Jo�o V. antiga;em branco;em branco;em branco;leil�o bastos dias;15:000$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;6442 - 6443;em branco ;2;"machinas de escrever typo ""royal, 12"" nos 12 e 13";em branco;em branco;em branco;em branco;1:500$000;5:000$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;6444;em branco ;1;"machina de escrever typo ""underwood,14"" n� 58";em branco;em branco;em branco;em branco;2:000$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;6445;em branco ;1;"ficheiro ""allsteel"". Mede 0m,43 x 0m,18 x 0m,22";0,43;0,18;0,22;em branco;100$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Cataloga��o (2a SALA);7886;6446;em branco ;1;cadeira gyratoria de imbuia assento de palha e encosto redondo de madeira;em branco;em branco;em branco;em branco;150$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5997 - 5989;em branco ;13;estantes dyplas de a�o, com 5 prateleiras. Mede 7m x 2m,10;7;2,1;em branco;stahl union alemanha;em branco;;bom;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5990;em branco ;1;estante dupla, de a�o, com 7 portas corredi�as, com tela metallica;em branco;em branco;em branco;em branco;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5991 - 5992;em branco ;2;carros para transportar livros, com rodas de a�o;em branco;em branco;em branco;em branco;300$000;600$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5993;em branco ;1;Mesa typo D.;em branco;em branco;em branco;laubisch - rio;1:267$400$000;;bom;servi�o;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5994;em branco ;1;mesa typo G;em branco;em branco;em branco;laubisch - rio;326$000;;bom;servi�o;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5995;em branco ;1;mesa de imbuia com 4 p�s, sapatas de metal e tampo de linoleum. Mede 1m,25 x 0m,73 x 0m,78;1,25;0,73;0,78;em branco;300$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5996;em branco ;1;cadeira de vime para dactylographa;em branco;em branco;em branco;em branco;250$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5997;em branco ;1;"machina de escrever ""royal, 12 pollegadas"" n� 3";em branco;em branco;em branco;rio de janeiro;1:500$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5998;em branco ;1;"machina de escrever, carro 18 pollegadas ""remington"" n� 53";em branco;em branco;em branco;em branco;3:500$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;5999;em branco ;1;"machina de escrever ""underwood"" n� 66, 14 pollegadas";em branco;em branco;em branco;em branco;2:500$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;6000;em branco ;1;ficheiro de a�o, com 4 gavetas, mede 1m,40 x 0m,35 x 0m,72;1,4;0,35;0,72;em branco;400$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;6001;em branco ;1;mesa de a�o com tampo de linoleum. Mede 1m,56 x 0m,80 x 0m,80;1,56;0,8;0,8;em branco;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;6002 - 6003;em branco ;2;mesas de peroba com 1 gaveta. Mede 0m,80 x 0m,50 x 0m,55;0,8;0,5;0,55;em branco;50$000;150$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (andar terreo) armazem de livros;7887;6004;em branco ;1;machina para sello secco;em branco;em branco;em branco;em branco;600$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (1� andar) armazem de livros;7888;6005 - 6017;em branco ;13;estantes duplas de a�o, com 7 prateleiras. Mede 7m x 2m,10;7;2,1;em branco;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (1� andar) armazem de livros;7888;6018;em branco ;1;idem, com portas corredi�as e tela metallica;em branco;em branco;em branco;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (2� andar) armazem de livros;7889;6019 - 6031;em branco ;13;estantes duplas, de a�o, com 7 prateleiras. Mede 7m x 2m,10;7;2,1;em branco;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Bibliotheca (2� andar) armazem de livros;7889;6032;em branco ;1;idem, com portas corredi�as e tela metallica;em branco;em branco;em branco;em branco;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Sub-SOLO;7890;6033;em branco ;1;mesa de peroba com 2 gavetas. Mede 1m,43 x 0m,70 x 0m,80;1,43;0,7;0,8;;50$000;;regular;em branco;19/12/1932
 Edificio da Bibliotheca ;Sub-SOLO;7890;6034;em branco ;1;mesa para machina de escrever, de peroba, com extens�o. Mede 0m,97 x 0m,42 x 0m,55;0,97;0,42;0,55;;50$000;;regular;em branco;19/12/1932
 Edificio da Bibliotheca ;Sub-SOLO;7890;6035;em branco ;1;"machina de escrever ""remington"" 13 pollegadas n� 43";em branco;em branco;em branco;;1:000$000;;regular;em branco;19/12/1932
 Edificio da Bibliotheca ;Sub-SOLO;7890;6036;em branco ;1;cadeira de madeira pintada, com encosto e assento de palha;em branco;em branco;em branco;estados unidos;40$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Sub-SOLO;7890;6037;em branco ;1;cadeira de peroba, com encosto e assento de palha;2,8;1,15;em branco;;40$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Sub-SOLO;7890;6038 - 6039;em branco ;2;estantes de madeira, com 5 prateleiras. Mede 2m,80 x 1m,15;em branco;em branco;em branco;;40$000;80$000;regular;em branco;19/12/1932
 Edificio da Bibliotheca ;Casa Forte;7891;6040 - 6042;em branco ;3;estantes duplas, de a�o, com 7m x 2m,25 x 0m,50;7;2,25;0,5;allemanha;em branco;;;ver ( x );19/12/1932
 Edificio da Bibliotheca ;1� gabinete do entresolo;7892;6043;em branco ;1;secretaria de imbuia com 11 gavetas e tampo de couro. Mede 1m,40 x 0m,80 x 0m,80;1,4;0,8;0,8;rio de janeiro;300$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;1� gabinete do entresolo;7892;6044;em branco ;1;banco para machina, de peroba, com 1 gavetaa. Mede 0m,60;0,6;em branco;em branco;rio de janeiro;400$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;1� gabinete do entresolo;7892;6045;em branco ;1;"machina de escrever ""underwood"" 12 pollegadas n� 63";em branco;em branco;em branco;rio de janeiro;2:500$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6046;em branco ;1;mesa typo A;em branco;em branco;em branco;laubisch - rio;2:034$100;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6047;em branco ;1;mesa typo B;em branco;em branco;em branco;laubisch - rio;1:750$100;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6048;em branco ;1;papeleira de imbuia com 12 gavetas. Mede 1m,48 x 0m,39 x 0m,35;1,48;0,39;0,35;em branco;300$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6049;em branco ;1;mesa typo D;em branco;em branco;em branco;laubisch - rio;1:267$400;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6050;em branco ;1;"machina ""remington"" de 12 pollegadas, n� 51";em branco;em branco;em branco;em branco;2:500$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6051;em branco ;1;ficheiro de a�o. Mede 0m,28 x 0m,18 x 0m,40;0,28;0,18;0,4;em branco;200$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6052;em branco ;1;cadeira gyratoria, assento de couro e encosto com reguas de madeira;em branco;em branco;em branco;em branco;150$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6053;em branco ;1;cesta typo roneo;em branco;em branco;em branco;em branco;50$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6054;em branco ;1;cesta de tela de arame dourado;em branco;em branco;em branco;em branco;30$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6055;em branco ;1;columna de marmore verde, com 1m,05;1,05;em branco;em branco;em branco;200$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;2� gabinete do entresolo;7893;6056;em branco ;1;armario de imbuia com portas corredi�as e vidros. Mede 1m,20 x 1m,70 x 0m,40;1,2;1,7;0,4;em branco;300$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;3� gabinete do entresolo;7894;6057;em branco ;1;mesa de peroba, com 2 gavetas. Mede 1m,30 x 0m,80 x 0m,73;1,3;0,8;0,73;em branco;100$000;;regular;em branco;19/12/1932
 Edificio da Bibliotheca ;3� gabinete do entresolo;7894;6058;em branco ;1;escrivaninha de imbuia com 8 gavetas e 2 extens�es e tampo de panno verde. Mede 1m,30 x 0m,70 x 0m80;1,3;0,7;0,8;em branco;200$000;;regular;em branco;19/12/1932
 Edificio da Bibliotheca ;3� gabinete do entresolo;7894;6059;em branco ;1;armario de imbuia com portas corredi�as e envidra�adas. Mede 1m,20 x 1m,70 x 0m,40;1,2;1,7;0,4;em branco;200$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;3� gabinete do entresolo;7894;6060;em branco ;1;columna de marmore branco, com 1m;1;em branco;em branco;em branco;100$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6061 - 6062;em branco ;2;mesas de imbuia com 6 p�s torneados, tampo de madeira. Mede 5m x 1m,50 x 0m,80;5;1,5;0,8;em branco;1:000$000;2:000$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6063;em branco ;1;mesa de peroba com p�s torneados, com 4 gavetas. Mede 3m,80 x 1m,17 x 0m,65;3,8;1,17;0,65;em branco;600$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6064 - 6065;em branco ;2;mesas de vinhetico com 2 gavetas, tampo de couro. Mede 1m,35 x 0m,75 x 0m,80;1,35;0,75;0,8;em branco;100$000;200$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6066;em branco ;1;mesa de canella com 2 gavetas. Mede 1m,05 x 0m,80 x 0m,80;1,05;0,8;0,8;em branco;80$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6067;em branco ;1;mesas de vinhetico com 1 gavet�o. Mede 2m x 1m x 0m,87;2;1;0,87;em branco;150$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6068 - 6073;em branco ;6;mesas de peroba para costurar livros, com 1 gaveta. Mede 1m,20 x 0m,30 x 0m,80;1,2;0,3;0,8;em branco;100$000;600$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6074 - 6076;em branco ;3;carros para transportar livros;em branco;em branco;em branco;em branco;300$000;900$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6077;em branco ;1;armario de a�o com 5 divis�es. Mede 1m,75 x 1m,85 x 0m,64;1,75;1,85;0,64;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6078;em branco ;1;estante de a�o (dupla) com 30 divis�es cada. Mede 3m,05 x 1m,90 x 0m,40;3,05;1,9;0,4;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6079;em branco ;1;machina para portar papel�o, grande;em branco;em branco;em branco;em branco;em branco;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6080;em branco ;1;machina para cortar papel, pequena;em branco;em branco;em branco;em branco;em branco;;em branco;sem uso;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6081;em branco ;1;machina para cortar papel�o, pequena;em branco;em branco;em branco;em branco;em branco;;em branco;idem;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6082;em branco ;1;machina para fazer encaixo, de ferro;em branco;em branco;em branco;em branco;em branco;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6083;em branco ;1;prensa de ferro, grande;em branco;em branco;em branco;em branco;em branco;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6084;em branco ;1;prensa de madeira, grande;em branco;em branco;em branco;em branco;em branco;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6085;em branco ;1;prensa de madeira, de m�o, pequena;em branco;em branco;em branco;em branco;em branco;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6086;em branco ;1;cadeira gyratoria, austriaca;em branco;em branco;em branco;em branco;30$000;;n�o;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6087;em branco ;1;cadeira austriaca, pequena;em branco;em branco;em branco;em branco;5$000;;n�o;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;6088 - 6099;em branco ;12;bancos de peroba;em branco;em branco;em branco;em branco;20$000;240$000;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;5447;em branco ;1;"machina de aparar ""krause"", grande, de ferro e a�o, com motor";em branco;em branco;em branco;em branco;em branco;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Sala da Encardena��o;7895;5458;em branco ;1;columna de peroba com 3 p�s;em branco;em branco;em branco;em branco;40$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Patamar do archivo;7897;6100;em branco ;1;mesa typo G;em branco;em branco;em branco;laubisch - rio;326$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Patamar do archivo;7897;6101 - 6102;em branco ;2;cadeiras de peroba com encosto e assento de couro;em branco;em branco;em branco;em branco;50$000;100$000;n�o;pertenceu ao bar�o do rio branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6103 - 6142;em branco ;40;archivos de a�o, com 4 gavetas cada. Mede 0m,40 x 1m,45 x 0m,82;0,4;1,45;0,82;em branco;em branco;;bom;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6143 - 6151;em branco ;9;mesas de imbuia, tampo de linoleum e sapatas de bronze. Mede 1m,25 x 0m,72 x 0m,78;1,25;0,72;0,78;em branco;300$000;2:700$000;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6152 - 6153;em branco ;2;mesas para dactylographa, typo D;em branco;em branco;em branco;em branco;1:267$000;2:534$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6154 - 6155;em branco ;2;mesas de peroba para dactylographa. Mede 1m, x 0m,42 x 0m,65;1;0,42;0,65;em branco;80$000;160$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6156 - 6157;em branco ;2;cadeiras de vime para dactylographa;em branco;em branco;em branco;em branco;250$000;500$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6158;em branco ;1;mesa de a�o com tampo de linoleum. Mede 1m,60 x 0m,80 x 0m,80;1,6;0,8;0,8;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6159 - 6164;em branco ;6;cestas de a�o para papeis, typo roneo;em branco;em branco;em branco;em branco;50$000;300$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6165;em branco ;1;mesa para continuo;em branco;em branco;em branco;em branco;525$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6166;em branco ;1;banco de peroba para machina;em branco;em branco;em branco;em branco;40$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6167 - 6168;em branco ;2;ficheiros de a�o. Mede 0m,44 x 0m,15 x 0m,12;0,44;0,15;0,12;em branco;100$000;200$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6169;em branco ;1;furador de metal nickelado;em branco;em branco;em branco;em branco;40$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6170;em branco ;1;"relogio de parede ""condolo""";em branco;em branco;em branco;em branco;100$000;;regular;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6171 - 6172;em branco ;2;estantes rotatorias, com p�s de ferro e 70 folhas;em branco;em branco;em branco;em branco;4:500$000;9:000$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6173;em branco ;1;"machina de escrever ""underwood"" 18 pollegadas, n�93";em branco;em branco;em branco;em branco;5:500$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6174 - 6176;em branco ;3;"machinas de escrever ""underwood"" 12 pollegadas, nos. 41, 45 e 43";em branco;em branco;em branco;em branco;2:500$000;7:500$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6177;em branco ;1;"machina de escrever ""underwood"" 12 pollegadas n�78";em branco;em branco;em branco;rio de janeiro;2:500$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6459;em branco ;1;"sello secso ""armas da secretaria de estado""";em branco;em branco;em branco;em branco;150$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Archivo Central;7898;6460;em branco ;1;ficheiro typo carder;em branco;em branco;em branco;em branco;400$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6197 - 6200;em branco ;4;archivos de a�o com portas corredi�as, divididas em 5 partes cada um. Mede 2m,23 x 0m,37 x 6m,50;2,23;0,37;6,5;allemanha;em branco;;bom;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6182 - 6190;em branco ;9;k;2,25;0,37;0,5;allemanha;em branco;;bom;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6191;em branco ;1;archivo duplo, de a�o, com 7 portas de tela metallica;em branco;em branco;em branco;allemanha;em branco;;bom;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6192;em branco ;1;mesa de mogno, com 2 p�s duplos, 2 gavetas, tampo de panno, 4 puxadores de metal;em branco;em branco;em branco;em branco;800$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6193;em branco ;1;mesa typo G;em branco;em branco;em branco;laubisch - rio;326$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6194;em branco ;1;mesa de cedro pintado, com 1 gaveta;em branco;em branco;em branco;em branco;100$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6195;em branco ;1;furador de ferro nickelado;em branco;em branco;em branco;em branco;40$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6196;em branco ;1;cadeira de mogno, com assento e encosto de palha. Estylo 2� imperio;em branco;em branco;em branco;em branco;50$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6178 - 6181;em branco ;4;archivos de a�o com 4 divis�es. Roneo, mede 1m,55 x 0m,60 z 0m,75;1,55;0,6;0,75;paul christoph       ;400$0000;1:000$000;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6201 - 6202;em branco ;2;archivos de a�o, com 4 divis�es. Mede 1m,30 x 0m,70 x 0m,44;1,3;0,7;0,44;em branco;400$000;800$000;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6203;em branco ;1;mesa de peroba com 1 gaveta. Mede 0m,90 x 0m,70 x 0m,50;0,9;0,7;0,5;em branco;40$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6204;em branco ;1;mesa para machina de escrever, com 5 gavetas e 1 extens�o. Mede 0m,88 x 0m,35 x 0m,45;0,88;0,35;0,45;em branco;50$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6205;em branco ;1;idem com 1m x 0m,66 x 0m,45;1;0,66;0,45;em branco;50$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6206 - 6208;em branco ;3;cadeiras de peroba com encosto e assento de palha;em branco;em branco;em branco;em branco;10$000;30$000;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6209;em branco ;1;supporte para ventilador, de peroba. Mede 1m,25 ;1,25;em branco;em branco;em branco;40$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6210;em branco ;1;cesta para papeis, roneo;em branco;em branco;em branco;em branco;50$000;;em branco;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6461;em branco ;1;carro de m�o, feito de a�o e cedro;em branco;em branco;em branco;inglaterra;2:500$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6462;em branco ;1;"machina de escrever ""remington"" 24 pollegadas, n� 54";em branco;em branco;em branco;casa pratt - rio;2:500$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6463;em branco ;1;"idem idem ""remington"" 12 pollegadas n� 49";em branco;em branco;em branco;casa pratt - rio;30$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6464;em branco ;1;mesa de cedro. Mede 1m x 0m,90;1;0,9;em branco;em branco;10$000;20$000;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armario do Archivo (1� pavimento);7899;6465 - 6466;em branco ;2;cadeiras de peroba, com encosto e assento de palha;em branco;em branco;em branco;em branco;em branco;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armazem do Archivo (2� pavimento);7900;6211 - 6223;em branco ;13;archivos duplos de a�o, com 4 prateleiras. Mede 2m,25 x 0m,37 x 6m,50;2,25;0,37;6,5;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Armazem do Archivo (2� pavimento);7900;6224;em branco ;1;archivo duplo, de a�o, com 8 portas de tela metallica;em branco;em branco;em branco;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Armazem do Archivo (2� pavimento);7900;6225 - 6227;em branco ;5;"archivos de a�o ""automatico"" com 4 divis�es. Mede 1m,45 x 0m,34 x 0m,62";1,45;0,34;0,62;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Armazem do Archivo (2� pavimento);7900;6228;em branco ;1;mesa de a�o, com 2 gavetas, tampo de lona. Mede 1m,57 x 0m,78 x 0m,80;1,57;0,78;0,8;allemanha;em branco;;em branco;ver ( x );19/12/1932
 Edificio da Bibliotheca ;Armazem do Archivo (2� pavimento);7900;6229;em branco ;1;mesa de continuo;em branco;em branco;em branco;em branco;326$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armazem do Archivo (2� pavimento);7900;6230;em branco ;1;cadeira de peroba, com encosto e assento de palha;em branco;em branco;em branco;em branco;100$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armazem do Archivo (2� pavimento);7900;6231;em branco ;1;cesta para papeis, roneo;em branco;em branco;em branco;em branco;50$000;;bom;em branco;19/12/1932
 Edificio da Bibliotheca ;Armazem do Archivo (2� pavimento);7900;6232 - 6233;em branco ;2;archivos de a�o, com 2 divis�es. Mede 0m,18 x 0m,40 x 0m,40;0,18;0,4;0,4;em branco;100$000;200$000;em branco;em branco;19/12/1932
